 start_time :2020-01-19 13:47:59 
 batch_size :5 
  start from66600, l_rate =3e-05 
freeze=True, batch_size=5, min_num_class=0 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00003 74.20 k 60.28  | 1.462    63.747    69.003    0.6584    0.3000 | 1.480    25.000    0.547 | 1.523     25.000    0.542 |  2 hr 16 min 
0.00003 74.40 k 60.44  | 1.461    63.881    68.059    0.6560    0.3000 | 1.479    25.300    0.539 | 1.487     25.000    0.467 |  2 hr 20 min 
0.00003 74.60 k 60.60  | 1.465    65.499    70.755    0.6770    0.3000 | 1.494    25.000    0.532 | 1.501     25.000    0.537 |  2 hr 23 min 
0.00003 74.80 k 60.77  | 1.465    67.251    71.429    0.6905    0.3000 | 1.464    25.100    0.563 | 1.466     25.000    0.542 |  2 hr 27 min 
0.00003 75.00 k 60.93  | 1.468    66.307    71.159    0.6833    0.3000 | 1.478    25.100    0.559 | 1.522     25.000    0.508 |  2 hr 31 min 
0.00003 75.20 k 61.09  | 1.469    64.555    70.620    0.6733    0.3000 | 1.479    25.000    0.547 | 1.464     25.000    0.585 |  2 hr 34 min 
0.00003 75.40 k 61.25  | 1.475    69.542    74.933    0.7178    0.3000 | 1.485    25.300    0.545 | 1.397     25.000    0.600 |  2 hr 38 min 
0.00003 75.60 k 61.42  | 1.473    66.981    72.642    0.6938    0.3000 | 1.494    25.000    0.527 | 1.485     25.000    0.567 |  2 hr 41 min 
0.00003 75.80 k 61.58  | 1.475    66.577    72.102    0.6911    0.3000 | 1.477    25.200    0.569 | 1.479     25.000    0.517 |  2 hr 45 min 
0.00003 76.00 k 61.74  | 1.480    67.116    73.989    0.7002    0.3000 | 1.488    25.200    0.562 | 1.576     25.000    0.592 |  2 hr 49 min 
0.00003 76.20 k 61.90  | 1.479    66.442    73.585    0.6926    0.3000 | 1.479    25.100    0.564 | 1.441     25.000    0.588 |  2 hr 52 min 
0.00003 76.40 k 62.07  | 1.476    65.903    72.642    0.6881    0.3000 | 1.489    25.000    0.534 | 1.456     25.000    0.575 |  2 hr 56 min 
0.00003 76.60 k 62.23  | 1.478    66.846    73.046    0.6951    0.3000 | 1.506    25.400    0.523 | 1.495     25.000    0.542 |  2 hr 59 min 
0.00003 76.80 k 62.39  | 1.487    68.194    76.011    0.7159    0.3000 | 1.478    25.000    0.564 | 1.471     25.000    0.600 |  3 hr 03 min 
0.00003 77.00 k 62.55  | 1.492    67.385    76.550    0.7140    0.3000 | 1.483    25.100    0.565 | 1.472     25.000    0.575 |  3 hr 07 min 
0.00003 77.20 k 62.72  | 1.491    66.712    76.685    0.7125    0.3000 | 1.496    25.100    0.543 | 1.540     25.000    0.517 |  3 hr 10 min 
0.00003 77.40 k 62.88  | 1.491    67.925    76.954    0.7204    0.3000 | 1.499    25.200    0.533 | 1.490     25.000    0.450 |  3 hr 14 min 
0.00003 77.60 k 63.04  | 1.485    67.790    75.876    0.7128    0.3000 | 1.503    25.000    0.525 | 1.514     25.000    0.435 |  3 hr 17 min 
0.00003 77.80 k 63.20  | 1.491    65.094    74.394    0.6929    0.3000 | 1.486    25.000    0.566 | 1.465     25.000    0.592 |  3 hr 21 min 
0.00003 78.00 k 63.37  | 1.481    65.768    73.181    0.6888    0.3000 | 1.483    25.100    0.555 | 1.457     25.000    0.625 |  3 hr 25 min 
0.00003 78.20 k 63.53  | 1.485    67.520    75.337    0.7104    0.3000 | 1.493    25.000    0.542 | 1.500     25.000    0.510 |  3 hr 28 min 
0.00003 78.40 k 63.69  | 1.488    66.442    75.606    0.7042    0.3000 | 1.492    25.100    0.544 | 1.478     25.000    0.583 |  3 hr 32 min 
0.00003 78.60 k 63.85  | 1.486    67.385    75.472    0.7103    0.3000 | 1.503    25.100    0.527 | 1.545     25.000    0.517 |  3 hr 35 min 
0.00003 78.80 k 64.02  | 1.477    64.420    71.698    0.6760    0.3000 | 1.481    25.200    0.565 | 1.443     25.000    0.535 |  3 hr 39 min 
0.00003 79.00 k 64.18  | 1.497    64.960    75.876    0.6992    0.3000 | 1.504    25.100    0.548 | 1.544     25.000    0.579 |  3 hr 42 min 
0.00003 79.20 k 64.34  | 1.488    68.868    75.876    0.7198    0.3000 | 1.493    25.000    0.536 | 1.505     25.000    0.517 |  3 hr 46 min 
0.00003 79.40 k 64.50  | 1.491    67.251    76.146    0.7126    0.3000 | 1.509    25.000    0.527 | 1.510     25.000    0.575 |  3 hr 49 min 
0.00003 79.60 k 64.67  | 1.490    69.003    75.876    0.7211    0.3000 | 1.508    25.000    0.525 | 1.506     25.000    0.535 |  3 hr 53 min 
0.00003 79.80 k 64.83  | 1.496    69.272    78.167    0.7345    0.3000 | 1.491    25.000    0.550 | 1.473     25.000    0.592 |  3 hr 57 min 
0.00003 80.00 k 64.99  | 1.511    66.038    78.032    0.7165    0.3000 | 1.489    25.000    0.548 | 1.441     25.000    0.625 |  4 hr 00 min 
0.00003 80.20 k 65.15  | 1.498    66.442    78.032    0.7158    0.3000 | 1.491    25.000    0.541 | 1.546     25.000    0.442 |  4 hr 04 min 
0.00003 80.40 k 65.32  | 1.493    67.116    76.819    0.7137    0.3000 | 1.490    25.000    0.516 | 1.469     25.000    0.533 |  4 hr 07 min 
0.00003 80.60 k 65.48  | 1.479    67.116    75.067    0.7071    0.3000 | 1.503    25.200    0.518 | 1.453     25.000    0.550 |  4 hr 11 min 
0.00003 80.80 k 65.64  | 1.488    67.655    76.011    0.7134    0.3000 | 1.484    25.000    0.556 | 1.438     25.000    0.600 |  4 hr 14 min 
0.00003 81.00 k 65.80  | 1.485    65.229    74.259    0.6929    0.3000 | 1.500    25.100    0.540 | 1.553     25.000    0.542 |  4 hr 18 min 
0.00003 81.20 k 65.97  | 1.499    66.173    77.493    0.7104    0.3000 | 1.495    25.000    0.541 | 1.425     25.000    0.554 |  4 hr 22 min 
0.00003 81.40 k 66.13  | 1.486    68.733    76.280    0.7213    0.3000 | 1.503    25.000    0.528 | 1.469     25.000    0.497 |  4 hr 25 min 
0.00003 81.60 k 66.29  | 1.487    67.655    76.146    0.7159    0.3000 | 1.501    25.000    0.510 | 1.523     25.000    0.492 |  4 hr 29 min 
0.00003 81.80 k 66.45  | 1.487    66.981    75.472    0.7097    0.3000 | 1.483    25.200    0.548 | 1.448     25.000    0.585 |  4 hr 32 min 
0.00003 82.00 k 66.62  | 1.481    66.038    75.741    0.7056    0.3000 | 1.482    25.000    0.539 | 1.473     25.000    0.583 |  4 hr 36 min 
0.00003 82.20 k 66.78  | 1.497    63.612    75.337    0.6886    0.3000 | 1.493    25.000    0.524 | 1.505     25.000    0.600 |  4 hr 40 min 
0.00003 82.40 k 66.94  | 1.481    65.633    76.685    0.7076    0.3000 | 1.488    25.000    0.520 | 1.450     25.000    0.575 |  4 hr 43 min 
0.00003 82.60 k 67.10  | 1.489    68.329    77.358    0.7268    0.3000 | 1.494    25.000    0.515 | 1.471     25.000    0.475 |  4 hr 47 min 
0.00003 82.80 k 67.27  | 1.494    68.059    76.954    0.7222    0.3000 | 1.479    25.000    0.545 | 1.485     25.000    0.588 |  4 hr 50 min 
0.00003 83.00 k 67.43  | 1.482    66.442    74.798    0.7031    0.3000 | 1.474    25.100    0.541 | 1.457     25.000    0.542 |  4 hr 54 min 
0.00003 83.20 k 67.59  | 1.486    65.633    75.337    0.6975    0.3000 | 1.486    25.000    0.538 | 1.420     25.000    0.567 |  4 hr 57 min 
0.00003 83.40 k 67.75  | 1.489    65.094    74.933    0.6942    0.3000 | 1.493    25.000    0.525 | 1.553     25.000    0.442 |  5 hr 01 min 
0.00003 83.60 k 67.92  | 1.502    64.555    76.280    0.6992    0.3000 | 1.496    25.000    0.502 | 1.491     25.000    0.514 |  5 hr 04 min 
0.00003 83.80 k 68.08  | 1.492    66.038    75.876    0.7068    0.3000 | 1.475    25.200    0.554 | 1.476     25.000    0.542 |  5 hr 08 min 
0.00003 84.00 k 68.24  | 1.498    64.960    75.741    0.6974    0.3000 | 1.489    25.000    0.521 | 1.483     25.000    0.463 |  5 hr 12 min 
0.00003 84.20 k 68.40  | 1.519    62.938    72.642    0.6736    0.3000 | 1.491    25.000    0.524 | 1.518     25.000    0.525 |  5 hr 15 min 
0.00003 84.40 k 68.56  | 1.509    62.668    74.663    0.6823    0.3000 | 1.498    25.000    0.506 | 1.476     25.000    0.575 |  5 hr 19 min 
0.00003 84.60 k 68.73  | 1.500    64.555    74.528    0.6907    0.3000 | 1.486    25.000    0.496 | 1.463     25.000    0.560 |  5 hr 22 min 
0.00003 84.80 k 68.89  | 1.489    63.073    74.663    0.6842    0.3000 | 1.469    25.000    0.549 | 1.439     25.000    0.550 |  5 hr 26 min 
0.00003 85.00 k 69.05  | 1.520    63.073    73.046    0.6746    0.3000 | 1.478    25.000    0.538 | 1.470     25.000    0.512 |  5 hr 30 min 
0.00003 85.20 k 69.21  | 1.488    66.307    75.606    0.7048    0.3000 | 1.475    25.000    0.519 | 1.418     25.000    0.500 |  5 hr 33 min 
0.00003 85.40 k 69.38  | 1.501    65.094    76.011    0.7019    0.3000 | 1.503    25.000    0.500 | 1.530     25.000    0.450 |  5 hr 37 min 
0.00003 85.60 k 69.54  | 1.488    64.960    74.259    0.6906    0.3000 | 1.501    25.000    0.488 | 1.529     25.000    0.429 |  5 hr 40 min 
0.00003 85.80 k 69.70  | 1.495    64.825    74.528    0.6910    0.3000 | 1.471    25.000    0.531 | 1.443     25.000    0.517 |  5 hr 44 min 
0.00003 86.00 k 69.86  | 1.483    62.129    73.989    0.6752    0.3000 | 1.481    25.000    0.526 | 1.519     25.000    0.525 |  5 hr 48 min 
0.00003 86.20 k 70.03  | 1.474    63.612    72.911    0.6796    0.3000 | 1.488    25.000    0.513 | 1.626     25.000    0.475 |  5 hr 51 min 
0.00003 86.40 k 70.19  | 1.500    62.803    74.259    0.6810    0.3000 | 1.492    25.000    0.506 | 1.503     25.000    0.500 |  5 hr 55 min 
0.00003 86.60 k 70.35  | 1.481    67.385    75.337    0.7096    0.3000 | 1.477    25.000    0.485 | 1.429     25.000    0.558 |  5 hr 58 min 
0.00003 86.80 k 70.51  | 1.504    64.420    74.663    0.6920    0.3000 | 1.472    25.000    0.546 | 1.505     25.000    0.517 |  6 hr 02 min 
0.00003 87.00 k 70.68  | 1.513    64.420    73.854    0.6865    0.3000 | 1.498    25.000    0.528 | 1.465     25.000    0.575 |  6 hr 06 min 
0.00003 87.20 k 70.84  | 1.473    64.960    72.911    0.6856    0.3000 | 1.489    25.000    0.506 | 1.488     25.000    0.502 |  6 hr 09 min 
0.00003 87.40 k 71.00  | 1.484    63.747    72.776    0.6766    0.3000 | 1.477    25.000    0.503 | 1.486     25.000    0.431 |  6 hr 13 min 
0.00003 87.60 k 71.16  | 1.493    64.960    73.989    0.6895    0.3000 | 1.489    25.000    0.467 | 1.438     25.000    0.500 |  6 hr 16 min 
0.00003 87.80 k 71.33  | 1.476    64.420    73.989    0.6872    0.3000 | 1.460    25.000    0.535 | 1.437     25.000    0.529 |  6 hr 20 min 
0.00003 88.00 k 71.49  | 1.521    60.512    71.698    0.6562    0.3000 | 1.476    25.000    0.526 | 1.481     25.000    0.527 |  6 hr 24 min 
0.00003 88.20 k 71.65  | 1.486    61.456    70.081    0.6528    0.3000 | 1.479    25.000    0.507 | 1.503     25.000    0.438 |  6 hr 27 min 
0.00003 88.40 k 71.81  | 1.490    62.803    72.507    0.6715    0.3000 | 1.487    25.200    0.495 | 1.517     25.000    0.400 |  6 hr 31 min 
0.00003 88.60 k 71.98  | 1.464    63.747    71.159    0.6692    0.3000 | 1.472    25.000    0.485 | 1.474     25.000    0.529 |  6 hr 34 min 
0.00003 88.80 k 72.14  | 1.478    62.803    73.046    0.6745    0.3000 | 1.456    25.000    0.545 | 1.466     25.000    0.600 |  6 hr 38 min 
0.00003 89.00 k 72.30  | 1.490    61.590    72.372    0.6649    0.3000 | 1.463    25.000    0.518 | 1.429     25.000    0.438 |  6 hr 41 min 
0.00003 89.20 k 72.46  | 1.502    60.512    71.159    0.6509    0.3000 | 1.486    25.000    0.495 | 1.465     25.000    0.467 |  6 hr 45 min 
0.00003 89.40 k 72.63  | 1.483    62.938    72.237    0.6704    0.3000 | 1.498    25.000    0.494 | 1.414     25.000    0.583 |  6 hr 49 min 
