 start_time :2020-01-19 23:29:27 
 batch_size :5 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00030  7.60 k  5.76  | 1.777    37.062    37.601    0.3733    0.6000 | 0.645    92.700    0.956 | 0.687     95.000    0.967 |  3 hr 00 min 
0.00030  7.80 k  5.91  | 1.782    37.466    37.601    0.3753    0.7000 | 0.630    92.800    0.950 | 0.830     85.000    0.875 |  3 hr 04 min 
0.00030  8.00 k  6.06  | 1.842    37.197    37.601    0.3740    0.7000 | 0.619    92.800    0.951 | 0.553     90.000    0.942 |  3 hr 09 min 
0.00030  8.20 k  6.21  | 1.852    37.332    37.601    0.3747    0.7000 | 0.571    94.800    0.968 | 0.611     100.000    1.000 |  3 hr 14 min 
0.00030  8.40 k  6.37  | 1.861    37.466    37.601    0.3753    0.6000 | 0.570    93.900    0.961 | 0.731     90.000    0.917 |  3 hr 19 min 
0.00030  8.60 k  6.52  | 1.917    37.332    37.601    0.3747    0.6000 | 0.547    94.100    0.962 | 0.481     100.000    1.000 |  3 hr 23 min 
0.00030  8.80 k  6.67  | 1.935    37.332    37.601    0.3747    0.6000 | 0.499    96.400    0.978 | 0.472     95.000    0.975 |  3 hr 28 min 
0.00030  9.00 k  6.82  | 1.940    37.466    37.601    0.3753    0.6000 | 0.500    95.500    0.972 | 0.469     100.000    1.000 |  3 hr 33 min 
0.00030  9.20 k  6.97  | 1.964    37.332    37.736    0.3750    0.6000 | 0.521    96.100    0.971 | 0.518     100.000    1.000 |  3 hr 38 min 
0.00030  9.40 k  7.12  | 1.971    37.466    37.601    0.3753    0.6000 | 0.517    95.600    0.970 | 0.440     95.000    0.967 |  3 hr 42 min 
0.00030  9.60 k  7.27  | 2.007    37.466    37.601    0.3753    0.6000 | 0.476    95.000    0.966 | 0.342     95.000    0.975 |  3 hr 47 min 
0.00030  9.80 k  7.43  | 2.029    37.466    37.601    0.3753    0.6000 | 0.502    94.900    0.968 | 0.411     95.000    0.975 |  3 hr 52 min 
0.00030 10.00 k  7.58  | 2.042    37.466    37.601    0.3753    0.7000 | 0.472    94.700    0.967 | 0.480     100.000    1.000 |  3 hr 57 min 
0.00030 10.20 k  7.73  | 2.072    37.466    37.601    0.3753    0.7000 | 0.456    95.600    0.972 | 0.358     100.000    1.000 |  4 hr 01 min 
0.00030 10.40 k  7.88  | 2.081    37.601    37.601    0.3760    0.8000 | 0.452    96.200    0.973 | 0.513     95.000    0.967 |  4 hr 06 min 
0.00030 10.60 k  8.03  | 2.116    37.466    37.601    0.3753    0.7000 | 0.430    96.800    0.977 | 0.485     95.000    0.975 |  4 hr 11 min 
0.00030 10.80 k  8.18  | 2.124    37.466    37.601    0.3753    0.7000 | 0.440    95.800    0.971 | 0.422     95.000    0.950 |  4 hr 15 min 
0.00030 11.00 k  8.34  | 2.170    37.466    37.601    0.3753    0.7000 | 0.421    97.200    0.980 | 0.283     100.000    1.000 |  4 hr 20 min 
0.00030 11.20 k  8.49  | 2.174    37.466    37.601    0.3753    0.8000 | 0.418    96.300    0.976 | 0.712     90.000    0.910 |  4 hr 25 min 
0.00030 11.40 k  8.64  | 2.193    37.466    37.601    0.3753    0.6000 | 0.401    97.400    0.982 | 0.397     95.000    0.963 |  4 hr 30 min 
0.00030 11.60 k  8.79  | 2.169    37.601    37.601    0.3760    0.8000 | 0.401    96.200    0.975 | 0.377     95.000    0.975 |  4 hr 34 min 
0.00030 11.80 k  8.94  | 2.191    37.332    37.601    0.3747    0.7000 | 0.387    96.800    0.979 | 0.277     100.000    1.000 |  4 hr 39 min 
0.00030 12.00 k  9.09  | 2.232    37.466    37.736    0.3756    0.8000 | 0.378    96.700    0.980 | 0.341     100.000    1.000 |  4 hr 44 min 
0.00030 12.20 k  9.24  | 2.247    37.466    37.601    0.3753    0.7000 | 0.374    97.100    0.980 | 0.679     95.000    0.950 |  4 hr 48 min 
0.00030 12.40 k  9.40  | 2.250    37.466    37.601    0.3753    0.6000 | 0.365    96.900    0.980 | 0.293     100.000    1.000 |  4 hr 53 min 
0.00030 12.60 k  9.55  | 2.274    37.466    37.601    0.3753    0.7000 | 0.370    97.300    0.982 | 0.307     100.000    1.000 |  4 hr 58 min 
0.00030 12.80 k  9.70  | 2.265    37.466    37.601    0.3753    0.6000 | 0.369    95.700    0.971 | 0.404     95.000    0.950 |  5 hr 03 min 
0.00030 13.00 k  9.85  | 2.284    37.466    37.601    0.3753    0.6000 | 0.365    97.600    0.985 | 0.376     100.000    1.000 |  5 hr 07 min 
0.00030 13.20 k 10.00  | 2.293    37.466    37.601    0.3753    0.8000 | 0.353    97.000    0.981 | 0.393     95.000    0.950 |  5 hr 12 min 
0.00030 13.40 k 10.15  | 2.313    37.601    37.601    0.3760    0.9000 | 0.372    97.100    0.979 | 0.487     90.000    0.942 |  5 hr 17 min 
0.00030 13.60 k 10.31  | 2.326    37.466    37.601    0.3753    0.7000 | 0.342    97.900    0.985 | 0.327     100.000    1.000 |  5 hr 22 min 
0.00030 13.80 k 10.46  | 2.328    37.601    37.601    0.3760    0.8000 | 0.336    97.800    0.985 | 0.294     100.000    1.000 |  5 hr 26 min 
0.00030 14.00 k 10.61  | 2.332    37.466    37.601    0.3753    0.7000 | 0.358    97.700    0.983 | 0.442     100.000    1.000 |  5 hr 31 min 
