	__file__     = main.py
	out_dir      = ./models/seresnet101_fold0_pseudo_512_512

	<additional comments>
	  ... xxx baseline  ... 

** dataset setting **
batch_size = 32
train_dataset : 
<process.data.WhaleDataset object at 0x7ffa3d1fcc18>
valid_dataset : 
<process.data.WhaleDataset object at 0x7ffaf5c34588>

** net setting **
<class 'torch.nn.parallel.data_parallel.DataParallel'>


change hard_ratio: 0.01
0.0001000 3900.0    1.0 | 1.046  0.336  0.001  (0.341)   | 1.414  0.605  0.000  (0.201)  |  0 hr 58 min
save max valid!!!!!! : 0.35383333333333333
change hard_ratio: 0.01
0.0001000 4000.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.444  0.671  0.025  (0.000)  |  1 hr 01 min
0.0001000 4100.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.353  0.423  0.000  (0.125)  |  1 hr 02 min
0.0001000 4200.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.353  0.476  0.000  (0.035)  |  1 hr 04 min
0.0001000 4300.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.354  0.471  0.000  (0.168)  |  1 hr 05 min
0.0001000 4400.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.410  0.518  0.042  (0.071)  |  1 hr 07 min
0.0001000 4500.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.374  0.527  0.000  (0.047)  |  1 hr 08 min
0.0001000 4600.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.394  0.581  0.062  (0.066)  |  1 hr 10 min
0.0001000 4700.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.442  0.685  0.000  (0.000)  |  1 hr 11 min
0.0001000 4800.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.411  0.543  0.042  (0.043)  |  1 hr 13 min
0.0001000 4900.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.382  0.663  0.062  (0.000)  |  1 hr 14 min
0.0001000 5000.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.397  0.465  0.025  (0.028)  |  1 hr 16 min
0.0001000 5100.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.344  0.708  0.198  (0.000)  |  1 hr 17 min
0.0001000 5200.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.336  0.526  0.050  (0.000)  |  1 hr 19 min
0.0001000 5300.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.348  0.631  0.125  (0.000)  |  1 hr 20 min
0.0001000 5400.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.382  0.501  0.092  (0.062)  |  1 hr 22 min
0.0001000 5500.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.333  0.432  0.042  (0.240)  |  1 hr 23 min
0.0001000 5600.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.408  0.607  0.198  (0.083)  |  1 hr 25 min
0.0001000 5700.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.387  0.660  0.406  (0.260)  |  1 hr 26 min
0.0001000 5800.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.374  0.595  0.135  (0.250)  |  1 hr 28 min
0.0001000 5900.0    2.0 | 0.967  0.341  0.007  (0.354)   | 1.340  0.321  0.188  (0.491)  |  1 hr 29 min
save max valid!!!!!! : 0.39269444444444446
change hard_ratio: 0.01
0.0001000 6000.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.267  0.310  0.144  (0.368)  |  1 hr 32 min
0.0001000 6100.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.358  0.413  0.217  (0.424)  |  1 hr 33 min
0.0001000 6200.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.252  0.292  0.442  (0.399)  |  1 hr 35 min
0.0001000 6300.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.267  0.314  0.323  (0.278)  |  1 hr 36 min
0.0001000 6400.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.360  0.444  0.338  (0.165)  |  1 hr 38 min
0.0001000 6500.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.304  0.186  0.535  (0.394)  |  1 hr 39 min
0.0001000 6600.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.306  0.234  0.237  (0.344)  |  1 hr 41 min
0.0001000 6700.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.307  0.209  0.406  (0.325)  |  1 hr 42 min
0.0001000 6800.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.253  0.302  0.385  (0.484)  |  1 hr 44 min
0.0001000 6900.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.235  0.388  0.438  (0.249)  |  1 hr 45 min
0.0001000 7000.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.322  0.304  0.515  (0.241)  |  1 hr 47 min
0.0001000 7100.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.250  0.204  0.354  (0.330)  |  1 hr 48 min
0.0001000 7200.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.316  0.304  0.515  (0.371)  |  1 hr 49 min
0.0001000 7300.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.247  0.316  0.729  (0.358)  |  1 hr 51 min
0.0001000 7400.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.324  0.360  0.573  (0.161)  |  1 hr 52 min
0.0001000 7500.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.352  0.462  0.463  (0.000)  |  1 hr 54 min
0.0001000 7600.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.288  0.329  0.510  (0.203)  |  1 hr 55 min
0.0001000 7700.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.215  0.267  0.504  (0.290)  |  1 hr 57 min
0.0001000 7800.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.273  0.291  0.698  (0.342)  |  1 hr 58 min
0.0001000 7900.0    3.0 | 0.924  0.347  0.027  (0.393)   | 1.199  0.079  0.317  (0.823)  |  2 hr 00 min
save max valid!!!!!! : 0.49073611111111115
change hard_ratio: 0.01
0.0002000 8000.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.245  0.168  0.146  (0.247)  |  2 hr 02 min
0.0002000 8100.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.306  0.338  0.104  (0.028)  |  2 hr 04 min
0.0002000 8200.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.250  0.137  0.067  (0.258)  |  2 hr 05 min
0.0002000 8300.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.276  0.285  0.160  (0.031)  |  2 hr 07 min
0.0002000 8400.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.257  0.227  0.056  (0.210)  |  2 hr 08 min
0.0002000 8500.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.346  0.335  0.092  (0.111)  |  2 hr 10 min
0.0002000 8600.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.370  0.241  0.067  (0.135)  |  2 hr 11 min
0.0002000 8700.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.279  0.190  0.073  (0.092)  |  2 hr 13 min
0.0002000 8800.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.328  0.263  0.050  (0.139)  |  2 hr 14 min
0.0002000 8900.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.287  0.207  0.000  (0.198)  |  2 hr 15 min
0.0002000 9000.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.292  0.209  0.050  (0.073)  |  2 hr 17 min
0.0002000 9100.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.329  0.181  0.285  (0.073)  |  2 hr 18 min
0.0002000 9200.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.296  0.200  0.138  (0.243)  |  2 hr 20 min
0.0002000 9300.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.311  0.246  0.067  (0.010)  |  2 hr 21 min
0.0002000 9400.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.305  0.335  0.000  (0.008)  |  2 hr 23 min
0.0002000 9500.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.267  0.178  0.150  (0.378)  |  2 hr 24 min
0.0002000 9600.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.334  0.208  0.198  (0.031)  |  2 hr 26 min
0.0002000 9700.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.345  0.422  0.200  (0.167)  |  2 hr 27 min
0.0002000 9800.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.296  0.310  0.221  (0.231)  |  2 hr 29 min
0.0002000 9900.0    4.0 | 0.855  0.353  0.045  (0.491)   | 1.159  0.071  0.338  (0.896)  |  2 hr 30 min
change hard_ratio: 0.01
0.0002000 10000.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.070  0.063  0.552  (0.802)  |  2 hr 33 min
0.0002000 10100.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.222  0.064  0.415  (0.608)  |  2 hr 34 min
0.0002000 10200.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.164  0.031  0.410  (0.741)  |  2 hr 35 min
0.0002000 10300.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.170  0.098  0.446  (0.565)  |  2 hr 37 min
0.0002000 10400.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.154  0.017  0.521  (0.786)  |  2 hr 38 min
0.0002000 10500.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.115  0.054  0.427  (0.736)  |  2 hr 40 min
0.0002000 10600.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.161  0.066  0.467  (0.535)  |  2 hr 41 min
0.0002000 10700.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.139  0.083  0.448  (0.579)  |  2 hr 43 min
0.0002000 10800.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.172  0.280  0.583  (0.431)  |  2 hr 44 min
0.0002000 10900.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.225  0.160  0.515  (0.284)  |  2 hr 46 min
0.0002000 11000.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.179  0.115  0.296  (0.310)  |  2 hr 47 min
0.0002000 11100.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.135  0.020  0.469  (0.423)  |  2 hr 49 min
0.0002000 11200.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.221  0.118  0.490  (0.321)  |  2 hr 50 min
0.0002000 11300.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.203  0.069  0.542  (0.481)  |  2 hr 52 min
0.0002000 11400.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.224  0.119  0.573  (0.269)  |  2 hr 53 min
0.0002000 11500.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.248  0.115  0.552  (0.056)  |  2 hr 54 min
0.0002000 11600.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.202  0.123  0.775  (0.258)  |  2 hr 56 min
0.0002000 11700.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.154  0.075  0.594  (0.688)  |  2 hr 57 min
0.0002000 11800.0    5.0 | 0.807  0.360  0.035  (0.477)   | 1.173  0.137  0.823  (0.376)  |  2 hr 59 min
