 start_time :2020-01-05 19:03:49 
 batch_size :5 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00030  7.60 k  6.17  | 2.026    34.636    34.906    0.3473    0.7000 | 0.513    96.500    0.977 | 0.417     95.000    0.975 |  3 hr 12 min 
0.00030  7.80 k  6.34  | 2.031    34.636    34.906    0.3473    0.7000 | 0.456    96.200    0.977 | 0.420     100.000    1.000 |  3 hr 17 min 
0.00030  8.00 k  6.50  | 2.050    34.636    34.906    0.3475    0.6000 | 0.448    95.900    0.974 | 0.380     100.000    1.000 |  3 hr 22 min 
0.00030  8.20 k  6.66  | 2.090    34.636    34.906    0.3473    0.6000 | 0.455    96.800    0.980 | 0.432     100.000    1.000 |  3 hr 27 min 
0.00030  8.40 k  6.82  | 2.117    34.636    34.771    0.3470    0.6000 | 0.441    96.300    0.976 | 0.353     95.000    0.975 |  3 hr 32 min 
0.00030  8.60 k  6.99  | 2.142    34.501    34.771    0.3464    0.6000 | 0.431    96.300    0.977 | 0.417     100.000    1.000 |  3 hr 37 min 
0.00030  8.80 k  7.15  | 2.183    34.636    34.906    0.3473    0.7000 | 0.392    98.100    0.988 | 0.490     95.000    0.950 |  3 hr 42 min 
0.00030  9.00 k  7.31  | 2.197    34.636    34.906    0.3474    0.6000 | 0.409    96.600    0.979 | 0.334     100.000    1.000 |  3 hr 47 min 
0.00030  9.20 k  7.47  | 2.214    34.636    34.906    0.3474    0.6000 | 0.411    96.200    0.974 | 0.556     90.000    0.938 |  3 hr 52 min 
0.00030  9.40 k  7.64  | 2.250    34.636    34.906    0.3475    0.6000 | 0.396    97.100    0.980 | 0.284     100.000    1.000 |  3 hr 57 min 
0.00030  9.60 k  7.80  | 2.264    34.636    34.771    0.3470    0.7000 | 0.339    97.900    0.987 | 0.290     100.000    1.000 |  4 hr 02 min 
0.00030  9.80 k  7.96  | 2.287    34.636    34.771    0.3470    0.6000 | 0.372    97.500    0.984 | 0.292     100.000    1.000 |  4 hr 07 min 
0.00030 10.00 k  8.12  | 2.313    34.636    35.040    0.3478    0.7000 | 0.364    97.500    0.983 | 0.370     95.000    0.975 |  4 hr 12 min 
0.00030 10.20 k  8.29  | 2.324    34.636    34.906    0.3477    0.6000 | 0.358    97.500    0.984 | 0.273     95.000    0.975 |  4 hr 17 min 
0.00030 10.40 k  8.45  | 2.333    34.636    34.771    0.3470    0.7000 | 0.353    96.200    0.976 | 0.330     100.000    1.000 |  4 hr 22 min 
0.00030 10.60 k  8.61  | 2.363    34.501    34.771    0.3464    0.6000 | 0.350    97.200    0.982 | 0.583     90.000    0.950 |  4 hr 27 min 
0.00030 10.80 k  8.77  | 2.367    34.636    34.906    0.3474    0.7000 | 0.312    98.100    0.989 | 0.186     100.000    1.000 |  4 hr 32 min 
0.00030 11.00 k  8.94  | 2.387    34.367    34.906    0.3461    0.6000 | 0.338    97.000    0.980 | 0.319     95.000    0.975 |  4 hr 37 min 
0.00030 11.20 k  9.10  | 2.417    34.636    34.906    0.3477    0.6000 | 0.313    97.900    0.988 | 0.301     100.000    1.000 |  4 hr 43 min 
0.00030 11.40 k  9.26  | 2.405    34.636    35.040    0.3480    0.6000 | 0.309    98.000    0.988 | 0.241     100.000    1.000 |  4 hr 48 min 
0.00030 11.60 k  9.42  | 2.416    34.636    34.771    0.3470    0.5000 | 0.304    98.400    0.989 | 0.225     100.000    1.000 |  4 hr 52 min 
0.00030 11.80 k  9.59  | 2.421    34.636    34.906    0.3475    0.6000 | 0.282    98.100    0.989 | 0.216     100.000    1.000 |  4 hr 58 min 
0.00030 12.00 k  9.75  | 2.433    34.636    34.906    0.3475    0.6000 | 0.314    97.100    0.982 | 0.283     100.000    1.000 |  5 hr 03 min 
0.00030 12.20 k  9.91  | 2.457    34.501    34.906    0.3468    0.6000 | 0.287    98.700    0.991 | 0.323     100.000    1.000 |  5 hr 08 min 
0.00030 12.40 k 10.07  | 2.452    34.636    34.906    0.3475    0.6000 | 0.324    97.700    0.984 | 0.258     100.000    1.000 |  5 hr 13 min 
0.00030 12.60 k 10.24  | 2.475    34.636    34.906    0.3477    0.6000 | 0.299    98.300    0.988 | 0.282     100.000    1.000 |  5 hr 18 min 
0.00030 12.80 k 10.40  | 2.475    34.636    34.906    0.3475    0.7000 | 0.313    98.400    0.989 | 0.358     100.000    1.000 |  5 hr 23 min 
0.00030 13.00 k 10.56  | 2.463    34.501    34.906    0.3470    0.7000 | 0.291    98.100    0.987 | 0.349     95.000    0.950 |  5 hr 28 min 
0.00030 13.20 k 10.72  | 2.457    34.636    34.771    0.3470    0.5000 | 0.286    97.200    0.983 | 0.311     95.000    0.950 |  5 hr 33 min 
0.00030 13.40 k 10.89  | 2.469    34.636    34.906    0.3474    0.6000 | 0.264    98.500    0.990 | 0.412     95.000    0.975 |  5 hr 38 min 
0.00030 13.60 k 11.05  | 2.467    34.636    34.906    0.3474    0.5000 | 0.323    96.700    0.980 | 0.232     100.000    1.000 |  5 hr 43 min 
0.00030 13.80 k 11.21  | 2.470    34.636    34.906    0.3475    0.6000 | 0.287    97.600    0.987 | 0.219     100.000    1.000 |  5 hr 48 min 
0.00030 14.00 k 11.37  | 2.489    34.636    34.906    0.3477    0.7000 | 0.288    98.100    0.988 | 0.298     95.000    0.975 |  5 hr 53 min 
0.00030 14.20 k 11.54  | 2.495    34.636    34.906    0.3477    0.6000 | 0.279    98.300    0.991 | 0.432     100.000    1.000 |  5 hr 58 min 
0.00030 14.40 k 11.70  | 2.502    34.636    34.906    0.3477    0.6000 | 0.279    98.400    0.990 | 0.301     100.000    1.000 |  6 hr 03 min 
0.00030 14.60 k 11.86  | 2.499    34.636    34.771    0.3470    0.7000 | 0.268    98.300    0.989 | 0.273     95.000    0.960 |  6 hr 08 min 
0.00030 14.80 k 12.02  | 2.501    34.636    34.906    0.3477    0.7000 | 0.273    98.600    0.991 | 0.272     100.000    1.000 |  6 hr 13 min 
0.00030 15.00 k 12.19  | 2.492    34.636    34.906    0.3475    0.7000 | 0.275    98.100    0.989 | 0.246     100.000    1.000 |  6 hr 18 min 
0.00030 15.20 k 12.35  | 2.502    34.636    34.906    0.3474    0.6000 | 0.259    98.600    0.992 | 0.257     95.000    0.975 |  6 hr 23 min 
0.00030 15.40 k 12.51  | 2.500    34.636    35.040    0.3478    0.6000 | 0.255    98.500    0.991 | 0.301     100.000    1.000 |  6 hr 28 min 
0.00030 15.60 k 12.67  | 2.507    34.636    34.906    0.3475    0.6000 | 0.275    97.500    0.983 | 0.278     95.000    0.960 |  6 hr 33 min 
0.00030 15.80 k 12.84  | 2.534    34.636    34.771    0.3470    0.8000 | 0.275    97.100    0.983 | 0.226     95.000    0.975 |  6 hr 39 min 
0.00030 16.00 k 13.00  | 2.533    34.636    34.771    0.3470    0.6000 | 0.263    98.000    0.987 | 0.291     100.000    1.000 |  6 hr 43 min 
0.00030 16.20 k 13.16  | 2.545    34.636    34.906    0.3477    0.5000 | 0.267    97.900    0.985 | 0.351     95.000    0.975 |  6 hr 48 min 
0.00030 16.40 k 13.32  | 2.549    34.636    34.906    0.3477    0.6000 | 0.252    99.000    0.993 | 0.241     100.000    1.000 |  6 hr 54 min 
