 start_time :2020-01-17 13:23:38 
 batch_size :5 
  start from22600, l_rate =0.0003 
freeze=True, batch_size=5, min_num_class=0 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00030 30.20 k 24.12  | 1.633    55.795    73.720    0.6322    0.3000 | 1.788    26.100    0.380 | 1.745     25.000    0.398 |  2 hr 20 min 
0.00030 30.40 k 24.27  | 1.647    55.391    75.337    0.6361    0.3000 | 1.820    26.000    0.360 | 1.787     25.000    0.375 |  2 hr 23 min 
0.00030 30.60 k 24.42  | 1.584    51.348    69.272    0.5839    0.3000 | 1.815    25.400    0.351 | 1.921     25.000    0.275 |  2 hr 27 min 
0.00030 30.80 k 24.57  | 1.666    51.078    74.259    0.6049    0.3000 | 1.710    26.800    0.421 | 1.888     25.000    0.408 |  2 hr 31 min 
0.00030 31.00 k 24.73  | 1.667    51.482    73.854    0.6112    0.3000 | 1.714    26.700    0.411 | 1.642     25.000    0.452 |  2 hr 34 min 
0.00030 31.20 k 24.88  | 1.670    53.369    74.798    0.6247    0.3000 | 1.752    26.900    0.386 | 1.864     30.000    0.375 |  2 hr 38 min 
0.00030 31.40 k 25.03  | 1.611    54.582    78.032    0.6434    0.3000 | 1.759    26.200    0.371 | 1.905     25.000    0.350 |  2 hr 41 min 
0.00030 31.60 k 25.18  | 1.634    51.078    73.720    0.6063    0.3000 | 1.824    26.000    0.347 | 1.818     30.000    0.350 |  2 hr 45 min 
0.00030 31.80 k 25.33  | 1.653    51.617    75.876    0.6139    0.3000 | 1.674    27.300    0.413 | 1.863     25.000    0.304 |  2 hr 49 min 
0.00030 32.00 k 25.48  | 1.690    54.852    75.202    0.6334    0.3000 | 1.682    26.300    0.408 | 1.648     35.000    0.400 |  2 hr 53 min 
0.00030 32.20 k 25.63  | 1.637    56.739    77.493    0.6524    0.3000 | 1.718    26.700    0.392 | 1.860     25.000    0.325 |  2 hr 56 min 
0.00030 32.40 k 25.79  | 1.638    60.108    80.189    0.6865    0.3000 | 1.772    26.700    0.389 | 1.764     25.000    0.356 |  3 hr 00 min 
0.00030 32.60 k 25.94  | 1.611    52.830    74.124    0.6145    0.3000 | 1.793    26.400    0.359 | 1.861     30.000    0.335 |  3 hr 03 min 
0.00030 32.80 k 26.09  | 1.605    49.865    72.642    0.5881    0.3000 | 1.634    27.100    0.416 | 1.506     25.000    0.512 |  3 hr 07 min 
0.00030 33.00 k 26.24  | 1.626    56.604    74.259    0.6374    0.3000 | 1.654    26.700    0.418 | 1.706     30.000    0.325 |  3 hr 11 min 
0.00030 33.20 k 26.39  | 1.614    56.334    74.394    0.6362    0.3000 | 1.716    26.600    0.396 | 1.730     25.000    0.342 |  3 hr 14 min 
0.00030 33.40 k 26.54  | 1.581    58.086    75.337    0.6509    0.3000 | 1.748    27.000    0.378 | 1.959     25.000    0.325 |  3 hr 18 min 
0.00030 33.60 k 26.70  | 1.584    56.065    79.919    0.6594    0.3000 | 1.755    26.400    0.381 | 1.769     25.000    0.362 |  3 hr 21 min 
0.00030 33.80 k 26.85  | 1.621    52.022    75.202    0.6138    0.3000 | 1.606    27.600    0.444 | 1.620     25.000    0.487 |  3 hr 25 min 
0.00030 34.00 k 27.00  | 1.578    52.426    69.542    0.5938    0.3000 | 1.644    28.000    0.411 | 1.879     25.000    0.345 |  3 hr 29 min 
0.00030 34.20 k 27.15  | 1.628    57.817    78.032    0.6693    0.3000 | 1.700    27.100    0.401 | 1.841     25.000    0.425 |  3 hr 32 min 
0.00030 34.40 k 27.30  | 1.661    58.221    78.302    0.6694    0.3000 | 1.704    26.800    0.391 | 1.644     35.000    0.458 |  3 hr 36 min 
0.00030 34.60 k 27.45  | 1.565    61.051    83.423    0.7015    0.3000 | 1.716    26.400    0.379 | 1.693     25.000    0.343 |  3 hr 40 min 
0.00030 34.80 k 27.60  | 1.611    54.987    73.989    0.6282    0.3000 | 1.604    27.700    0.441 | 1.611     35.000    0.467 |  3 hr 43 min 
0.00030 35.00 k 27.76  | 1.580    55.660    74.663    0.6318    0.3000 | 1.643    27.600    0.412 | 1.612     25.000    0.422 |  3 hr 47 min 
0.00030 35.20 k 27.91  | 1.552    59.569    77.358    0.6704    0.3000 | 1.670    26.800    0.395 | 1.695     25.000    0.367 |  3 hr 51 min 
0.00030 35.40 k 28.06  | 1.551    62.264    81.267    0.7027    0.3000 | 1.713    26.800    0.387 | 1.783     30.000    0.350 |  3 hr 54 min 
0.00030 35.60 k 28.21  | 1.598    60.512    81.671    0.6954    0.3000 | 1.712    27.000    0.393 | 1.684     30.000    0.396 |  3 hr 58 min 
0.00030 35.80 k 28.36  | 1.576    56.469    75.337    0.6385    0.3000 | 1.572    29.200    0.443 | 1.538     25.000    0.463 |  4 hr 02 min 
0.00030 36.00 k 28.51  | 1.571    55.256    74.528    0.6284    0.3000 | 1.626    28.400    0.431 | 1.724     25.000    0.377 |  4 hr 05 min 
0.00030 36.20 k 28.67  | 1.642    58.625    77.089    0.6673    0.3000 | 1.657    28.500    0.412 | 1.822     25.000    0.360 |  4 hr 09 min 
0.00030 36.40 k 28.82  | 1.610    58.086    76.146    0.6552    0.3000 | 1.673    26.500    0.388 | 1.533     25.000    0.392 |  4 hr 12 min 
0.00030 36.60 k 28.97  | 1.604    59.704    83.288    0.6966    0.3000 | 1.707    26.700    0.391 | 1.749     25.000    0.410 |  4 hr 16 min 
0.00030 36.80 k 29.12  | 1.622    55.256    78.032    0.6492    0.3000 | 1.578    29.100    0.448 | 1.494     25.000    0.492 |  4 hr 20 min 
0.00030 37.00 k 29.27  | 1.582    52.156    69.946    0.5917    0.3000 | 1.581    28.200    0.433 | 1.443     25.000    0.442 |  4 hr 24 min 
0.00030 37.20 k 29.42  | 1.579    59.164    78.706    0.6753    0.3000 | 1.637    28.400    0.422 | 1.633     25.000    0.429 |  4 hr 27 min 
0.00030 37.40 k 29.57  | 1.563    61.456    77.358    0.6796    0.3000 | 1.659    27.600    0.402 | 1.746     25.000    0.317 |  4 hr 31 min 
0.00030 37.60 k 29.73  | 1.533    62.938    80.054    0.6971    0.3000 | 1.672    26.900    0.390 | 1.815     25.000    0.360 |  4 hr 34 min 
0.00030 37.80 k 29.88  | 1.540    61.995    80.728    0.6968    0.3000 | 1.540    29.600    0.473 | 1.548     30.000    0.483 |  4 hr 38 min 
0.00030 38.00 k 30.03  | 1.550    57.682    76.415    0.6534    0.3000 | 1.599    29.400    0.436 | 1.882     25.000    0.300 |  4 hr 42 min 
0.00030 38.20 k 30.18  | 1.512    64.555    79.245    0.7068    0.3000 | 1.634    29.200    0.423 | 1.663     30.000    0.417 |  4 hr 46 min 
0.00030 38.40 k 30.33  | 1.504    56.873    73.854    0.6342    0.3000 | 1.612    27.500    0.418 | 1.771     25.000    0.375 |  4 hr 49 min 
0.00030 38.60 k 30.48  | 1.550    58.356    77.763    0.6608    0.3000 | 1.652    28.200    0.395 | 1.672     30.000    0.388 |  4 hr 53 min 
0.00030 38.80 k 30.64  | 1.514    57.008    76.280    0.6475    0.3000 | 1.546    29.500    0.462 | 1.593     25.000    0.417 |  4 hr 57 min 
0.00030 39.00 k 30.79  | 1.536    57.008    72.372    0.6309    0.3000 | 1.557    29.700    0.452 | 1.543     25.000    0.442 |  5 hr 01 min 
0.00030 39.20 k 30.94  | 1.517    60.377    77.358    0.6709    0.3000 | 1.598    28.700    0.429 | 1.568     30.000    0.475 |  5 hr 04 min 
0.00030 39.40 k 31.09  | 1.524    63.073    77.224    0.6876    0.3000 | 1.639    27.900    0.407 | 1.588     30.000    0.439 |  5 hr 08 min 
0.00030 39.60 k 31.24  | 1.548    61.590    78.167    0.6818    0.3000 | 1.641    27.400    0.397 | 1.642     25.000    0.417 |  5 hr 12 min 
