 start_time :2020-01-12 19:38:49 
 batch_size :5 
  start from22600, l_rate =0.0003 
freeze=True, batch_size=5, min_num_class=0 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.00030 22.60 k 18.36  | 2.792    34.636    34.906    0.3477    0.7000 | 0.000    0.000    0.000 | 0.000     0.000    0.000 |  0 hr 00 min 
0.00030 22.80 k 18.52  | 2.619    34.636    43.261    0.3766    0.3000 | 2.698    29.400    0.309 | 2.828     25.000    0.250 |  0 hr 04 min 
0.00030 23.00 k 18.68  | 2.436    34.501    50.270    0.4070    0.4000 | 2.585    28.000    0.310 | 2.597     25.000    0.267 |  0 hr 08 min 
0.00030 23.20 k 18.85  | 2.334    34.232    54.178    0.4263    0.4000 | 2.439    27.900    0.330 | 2.563     25.000    0.275 |  0 hr 12 min 
0.00030 23.40 k 19.01  | 2.266    34.501    62.668    0.4650    0.2000 | 2.410    26.000    0.325 | 2.348     25.000    0.379 |  0 hr 16 min 
0.00030 23.60 k 19.17  | 2.234    35.984    64.151    0.4839    0.2000 | 2.339    25.700    0.329 | 2.274     25.000    0.308 |  0 hr 19 min 
0.00030 23.80 k 19.33  | 2.197    37.466    62.264    0.4795    0.2000 | 2.223    25.700    0.360 | 2.327     25.000    0.410 |  0 hr 23 min 
0.00030 24.00 k 19.50  | 2.129    40.970    66.442    0.5223    0.2000 | 2.228    25.200    0.356 | 2.267     25.000    0.371 |  0 hr 27 min 
0.00030 24.20 k 19.66  | 2.133    41.375    73.989    0.5546    0.2000 | 2.181    25.600    0.366 | 2.135     25.000    0.352 |  0 hr 31 min 
0.00030 24.40 k 19.82  | 2.077    44.340    76.685    0.5857    0.2000 | 2.190    25.200    0.354 | 2.114     25.000    0.350 |  0 hr 35 min 
0.00030 24.60 k 19.98  | 2.048    46.361    78.706    0.6026    0.2000 | 2.175    25.500    0.339 | 2.180     25.000    0.348 |  0 hr 39 min 
0.00030 24.80 k 20.15  | 1.990    45.418    68.194    0.5449    0.2000 | 1.996    25.700    0.398 | 1.903     25.000    0.352 |  0 hr 42 min 
0.00030 25.00 k 20.31  | 1.974    46.631    68.059    0.5511    0.2000 | 1.978    25.900    0.386 | 2.032     25.000    0.342 |  0 hr 46 min 
0.00030 25.20 k 20.47  | 1.967    51.213    73.450    0.6037    0.2000 | 2.067    25.100    0.363 | 2.037     25.000    0.375 |  0 hr 50 min 
0.00030 25.40 k 20.63  | 1.861    52.426    72.642    0.6074    0.2000 | 2.064    25.600    0.367 | 2.097     25.000    0.335 |  0 hr 54 min 
0.00030 25.60 k 20.80  | 1.813    40.431    73.854    0.5533    0.3000 | 2.056    25.300    0.361 | 1.969     25.000    0.410 |  0 hr 57 min 
0.00030 25.80 k 20.96  | 1.857    49.057    69.946    0.5732    0.2000 | 1.918    25.700    0.399 | 2.038     25.000    0.404 |  1 hr 02 min 
0.00030 26.00 k 21.12  | 1.851    43.531    73.181    0.5641    0.3000 | 1.914    25.400    0.387 | 1.831     25.000    0.388 |  1 hr 05 min 
0.00030 26.20 k 21.28  | 1.879    50.404    71.833    0.5871    0.2000 | 1.935    25.400    0.376 | 1.855     25.000    0.467 |  1 hr 09 min 
0.00030 26.40 k 21.45  | 1.948    58.895    77.898    0.6708    0.2000 | 1.986    25.200    0.368 | 1.996     25.000    0.371 |  1 hr 13 min 
0.00030 26.60 k 21.61  | 1.820    43.127    77.763    0.5820    0.3000 | 1.975    25.600    0.363 | 1.978     25.000    0.275 |  1 hr 17 min 
0.00030 26.80 k 21.77  | 1.832    51.078    71.563    0.5913    0.2000 | 1.855    26.100    0.401 | 2.060     25.000    0.362 |  1 hr 21 min 
0.00030 27.00 k 21.93  | 1.809    44.744    76.685    0.5878    0.3000 | 1.863    25.800    0.394 | 1.870     25.000    0.379 |  1 hr 25 min 
0.00030 27.20 k 22.10  | 1.835    52.156    68.194    0.5865    0.2000 | 1.872    26.000    0.384 | 1.774     25.000    0.425 |  1 hr 29 min 
0.00030 27.40 k 22.26  | 1.871    52.695    68.733    0.5906    0.2000 | 1.934    25.900    0.370 | 1.804     25.000    0.433 |  1 hr 33 min 
0.00030 27.60 k 22.42  | 1.706    50.135    75.472    0.6068    0.3000 | 1.928    25.600    0.348 | 1.800     25.000    0.375 |  1 hr 36 min 
0.00030 27.80 k 22.58  | 1.795    44.744    74.528    0.5769    0.3000 | 1.793    26.200    0.414 | 1.804     30.000    0.429 |  1 hr 40 min 
0.00030 28.00 k 22.75  | 1.728    50.943    73.315    0.6036    0.3000 | 1.793    26.300    0.404 | 1.713     25.000    0.400 |  1 hr 44 min 
0.00030 28.20 k 22.91  | 1.792    46.765    74.798    0.5921    0.3000 | 1.836    26.300    0.386 | 1.648     25.000    0.417 |  1 hr 48 min 
0.00030 28.40 k 23.07  | 1.709    52.426    75.876    0.6257    0.3000 | 1.884    25.800    0.366 | 2.031     25.000    0.317 |  1 hr 52 min 
0.00030 28.60 k 23.23  | 1.753    47.439    72.642    0.5856    0.3000 | 1.881    25.400    0.360 | 1.940     25.000    0.318 |  1 hr 56 min 
0.00030 28.80 k 23.40  | 1.734    47.439    70.889    0.5732    0.3000 | 1.686    26.900    0.428 | 1.654     25.000    0.416 |  2 hr 00 min 
0.00030 29.00 k 23.56  | 1.764    46.631    73.854    0.5902    0.3000 | 1.778    27.400    0.410 | 2.063     25.000    0.379 |  2 hr 04 min 
0.00030 29.20 k 23.72  | 1.767    49.865    72.642    0.5963    0.3000 | 1.815    26.500    0.389 | 1.876     25.000    0.325 |  2 hr 08 min 
0.00030 29.40 k 23.88  | 1.707    53.235    73.989    0.6202    0.3000 | 1.818    26.600    0.380 | 1.911     25.000    0.329 |  2 hr 12 min 
0.00030 29.60 k 24.05  | 1.682    53.774    78.437    0.6438    0.3000 | 1.874    25.500    0.352 | 1.979     30.000    0.325 |  2 hr 15 min 
0.00030 29.80 k 24.21  | 1.751    47.844    70.755    0.5785    0.3000 | 1.644    28.400    0.439 | 1.655     25.000    0.402 |  2 hr 19 min 
0.00030 30.00 k 24.37  | 1.701    50.404    75.202    0.6095    0.3000 | 1.727    27.100    0.407 | 1.804     25.000    0.362 |  2 hr 23 min 
0.00030 30.20 k 24.53  | 1.712    52.156    76.146    0.6255    0.3000 | 1.762    26.400    0.389 | 1.980     30.000    0.335 |  2 hr 27 min 
0.00030 30.40 k 24.70  | 1.699    55.256    76.415    0.6443    0.3000 | 1.812    26.300    0.382 | 1.727     30.000    0.433 |  2 hr 31 min 
0.00030 30.60 k 24.86  | 1.645    51.887    73.585    0.6079    0.3000 | 1.797    26.000    0.380 | 1.821     25.000    0.350 |  2 hr 35 min 
0.00030 30.80 k 25.02  | 1.731    50.539    74.663    0.6072    0.3000 | 1.654    28.100    0.441 | 1.761     25.000    0.338 |  2 hr 39 min 
0.00030 31.00 k 25.18  | 1.703    51.078    74.528    0.6079    0.3000 | 1.713    27.100    0.419 | 1.691     25.000    0.439 |  2 hr 42 min 
0.00030 31.20 k 25.35  | 1.653    54.717    74.933    0.6299    0.3000 | 1.762    27.200    0.384 | 1.694     25.000    0.418 |  2 hr 46 min 
0.00030 31.40 k 25.51  | 1.895    35.310    59.164    0.4551    0.3000 | 1.780    25.900    0.379 | 1.909     25.000    0.325 |  2 hr 50 min 
0.00030 31.60 k 25.67  | 1.671    54.987    79.784    0.6586    0.3000 | 1.773    26.000    0.382 | 1.720     25.000    0.350 |  2 hr 53 min 
0.00030 31.80 k 25.83  | 1.714    51.348    75.067    0.6150    0.3000 | 1.638    28.400    0.420 | 1.589     30.000    0.442 |  2 hr 57 min 
0.00030 32.00 k 26.00  | 1.686    52.965    74.124    0.6196    0.3000 | 1.667    27.200    0.408 | 1.683     25.000    0.429 |  3 hr 01 min 
0.00030 32.20 k 26.16  | 1.661    50.000    68.059    0.5759    0.3000 | 1.710    28.100    0.407 | 1.698     25.000    0.375 |  3 hr 05 min 
0.00030 32.40 k 26.32  | 1.629    56.469    77.089    0.6499    0.3000 | 1.764    25.800    0.372 | 1.717     25.000    0.408 |  3 hr 09 min 
0.00030 32.60 k 26.48  | 1.596    54.043    75.741    0.6267    0.3000 | 1.745    26.500    0.387 | 1.929     25.000    0.338 |  3 hr 12 min 
0.00030 32.80 k 26.65  | 1.685    49.730    75.337    0.6062    0.3000 | 1.633    27.400    0.432 | 1.648     25.000    0.400 |  3 hr 16 min 
0.00030 33.00 k 26.81  | 1.715    50.674    74.798    0.6098    0.3000 | 1.671    27.700    0.422 | 1.631     30.000    0.400 |  3 hr 20 min 
0.00030 33.20 k 26.97  | 1.637    55.526    77.358    0.6499    0.3000 | 1.729    26.800    0.390 | 2.064     25.000    0.263 |  3 hr 24 min 
0.00030 33.40 k 27.13  | 1.654    55.660    78.571    0.6544    0.3000 | 1.739    27.500    0.391 | 1.940     25.000    0.348 |  3 hr 28 min 
0.00030 33.60 k 27.30  | 1.649    57.008    77.763    0.6571    0.3000 | 1.741    26.100    0.385 | 1.772     25.000    0.375 |  3 hr 31 min 
0.00030 33.80 k 27.46  | 1.610    57.547    78.032    0.6606    0.3000 | 1.598    27.100    0.448 | 1.505     30.000    0.550 |  3 hr 35 min 
0.00030 34.00 k 27.62  | 1.672    54.987    74.798    0.6322    0.3000 | 1.634    27.900    0.424 | 1.441     30.000    0.435 |  3 hr 39 min 
0.00030 34.20 k 27.78  | 1.691    51.752    71.159    0.6003    0.3000 | 1.676    27.400    0.409 | 1.503     35.000    0.442 |  3 hr 43 min 
0.00030 34.40 k 27.95  | 1.629    57.412    78.841    0.6675    0.3000 | 1.701    26.700    0.408 | 1.825     25.000    0.325 |  3 hr 47 min 
0.00030 34.60 k 28.11  | 1.584    59.299    78.841    0.6750    0.3000 | 1.727    26.500    0.370 | 1.719     30.000    0.350 |  3 hr 50 min 
0.00030 34.80 k 28.27  | 1.560    57.547    77.224    0.6572    0.3000 | 1.554    27.800    0.451 | 1.622     30.000    0.500 |  3 hr 54 min 
0.00030 35.00 k 28.43  | 1.559    57.682    77.493    0.6591    0.3000 | 1.616    28.500    0.427 | 1.722     25.000    0.410 |  3 hr 58 min 
0.00030 35.20 k 28.60  | 1.569    58.356    76.819    0.6604    0.3000 | 1.646    27.800    0.402 | 1.682     35.000    0.417 |  4 hr 02 min 
0.00030 35.40 k 28.76  | 1.608    58.086    79.245    0.6726    0.3000 | 1.692    27.100    0.404 | 1.810     25.000    0.300 |  4 hr 06 min 
