 start_time :2020-01-22 00:24:19 
 batch_size :5 
  start from70000, l_rate =3e-05 
freeze=True, batch_size=5, min_num_class=0 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
0.00003 77.60 k 58.80  | 1.445    36.119    94.744    0.6480    0.4000 | 1.475    26.000    0.538 | 1.468     25.000    0.514 |  2 hr 17 min 
0.00003 77.80 k 58.96  | 1.447    35.445    94.744    0.6444    0.4000 | 1.466    25.300    0.533 | 1.497     25.000    0.537 |  2 hr 21 min 
0.00003 78.00 k 59.11  | 1.448    34.501    96.092    0.6459    0.4000 | 1.479    25.200    0.524 | 1.559     25.000    0.475 |  2 hr 25 min 
0.00003 78.20 k 59.26  | 1.452    34.636    96.226    0.6448    0.4000 | 1.460    25.200    0.566 | 1.418     25.000    0.542 |  2 hr 28 min 
0.00003 78.40 k 59.41  | 1.453    35.175    95.283    0.6426    0.4000 | 1.463    25.500    0.565 | 1.467     25.000    0.525 |  2 hr 32 min 
0.00003 78.60 k 59.56  | 1.452    34.501    95.553    0.6433    0.4000 | 1.471    25.400    0.545 | 1.485     25.000    0.467 |  2 hr 36 min 
0.00003 78.80 k 59.71  | 1.452    34.097    95.822    0.6410    0.4000 | 1.483    25.200    0.540 | 1.505     25.000    0.487 |  2 hr 39 min 
0.00003 79.00 k 59.86  | 1.457    33.154    96.226    0.6416    0.4000 | 1.492    25.100    0.519 | 1.500     25.000    0.463 |  2 hr 43 min 
0.00003 79.20 k 60.02  | 1.458    33.558    95.283    0.6372    0.4000 | 1.463    25.400    0.559 | 1.481     25.000    0.617 |  2 hr 46 min 
0.00003 79.40 k 60.17  | 1.457    33.693    95.822    0.6395    0.4000 | 1.472    25.100    0.546 | 1.483     25.000    0.529 |  2 hr 50 min 
0.00003 79.60 k 60.32  | 1.458    33.693    95.957    0.6400    0.4000 | 1.475    25.000    0.545 | 1.480     25.000    0.550 |  2 hr 53 min 
0.00003 79.80 k 60.47  | 1.459    61.860    68.598    0.6458    0.3000 | 1.480    25.300    0.536 | 1.489     25.000    0.533 |  2 hr 57 min 
0.00003 80.00 k 60.62  | 1.460    63.747    68.059    0.6576    0.3000 | 1.494    25.300    0.519 | 1.475     25.000    0.550 |  3 hr 00 min 
0.00003 80.20 k 60.77  | 1.460    62.668    68.868    0.6540    0.3000 | 1.467    25.200    0.562 | 1.461     25.000    0.537 |  3 hr 04 min 
0.00003 80.40 k 60.93  | 1.461    64.016    69.542    0.6638    0.3000 | 1.475    25.000    0.554 | 1.498     25.000    0.527 |  3 hr 08 min 
0.00003 80.60 k 61.08  | 1.462    64.825    69.272    0.6673    0.3000 | 1.492    25.100    0.535 | 1.491     25.000    0.510 |  3 hr 11 min 
0.00003 80.80 k 61.23  | 1.464    64.286    69.407    0.6649    0.3000 | 1.492    25.000    0.536 | 1.530     25.000    0.500 |  3 hr 15 min 
0.00003 81.00 k 61.38  | 1.462    66.173    70.620    0.6790    0.3000 | 1.485    25.200    0.522 | 1.444     25.000    0.542 |  3 hr 18 min 
0.00003 81.20 k 61.53  | 1.462    65.364    71.024    0.6770    0.3000 | 1.479    25.000    0.557 | 1.465     25.000    0.533 |  3 hr 22 min 
0.00003 81.40 k 61.68  | 1.463    65.903    71.563    0.6845    0.3000 | 1.483    25.000    0.545 | 1.566     25.000    0.554 |  3 hr 26 min 
0.00003 81.60 k 61.83  | 1.458    65.094    69.407    0.6699    0.3000 | 1.481    25.000    0.547 | 1.507     25.000    0.600 |  3 hr 29 min 
0.00003 81.80 k 61.99  | 1.460    67.116    72.642    0.6957    0.3000 | 1.481    25.100    0.531 | 1.476     25.000    0.550 |  3 hr 33 min 
0.00003 82.00 k 62.14  | 1.461    67.520    73.046    0.6999    0.3000 | 1.498    25.200    0.529 | 1.472     25.000    0.550 |  3 hr 36 min 
0.00003 82.20 k 62.29  | 1.465    66.712    73.854    0.6992    0.3000 | 1.469    25.100    0.557 | 1.406     25.000    0.600 |  3 hr 40 min 
0.00003 82.40 k 62.44  | 1.468    66.981    73.585    0.7003    0.3000 | 1.492    25.000    0.554 | 1.476     25.000    0.483 |  3 hr 44 min 
0.00003 82.60 k 62.59  | 1.468    66.442    73.720    0.6967    0.3000 | 1.486    25.000    0.548 | 1.492     25.000    0.554 |  3 hr 47 min 
0.00003 82.80 k 62.74  | 1.463    66.173    73.989    0.6958    0.3000 | 1.489    25.000    0.525 | 1.472     25.000    0.500 |  3 hr 51 min 
0.00003 83.00 k 62.90  | 1.463    67.116    73.585    0.6994    0.3000 | 1.499    25.000    0.516 | 1.503     25.000    0.542 |  3 hr 54 min 
0.00003 83.20 k 63.05  | 1.462    66.846    72.507    0.6954    0.3000 | 1.476    25.100    0.559 | 1.474     25.000    0.575 |  3 hr 58 min 
0.00003 83.40 k 63.20  | 1.467    68.194    73.585    0.7069    0.3000 | 1.488    25.000    0.541 | 1.541     25.000    0.510 |  4 hr 02 min 
0.00003 83.60 k 63.35  | 1.467    68.059    74.259    0.7057    0.3000 | 1.487    25.000    0.533 | 1.462     25.000    0.492 |  4 hr 05 min 
0.00003 83.80 k 63.50  | 1.464    68.329    73.854    0.7071    0.3000 | 1.485    25.100    0.530 | 1.477     25.000    0.542 |  4 hr 09 min 
0.00003 84.00 k 63.65  | 1.465    67.655    73.854    0.7016    0.3000 | 1.490    25.000    0.516 | 1.508     25.000    0.412 |  4 hr 12 min 
0.00003 84.20 k 63.80  | 1.468    69.137    76.954    0.7252    0.3000 | 1.475    25.000    0.558 | 1.525     25.000    0.483 |  4 hr 16 min 
0.00003 84.40 k 63.96  | 1.466    66.577    75.202    0.7015    0.3000 | 1.475    25.200    0.546 | 1.478     25.000    0.492 |  4 hr 19 min 
0.00003 84.60 k 64.11  | 1.466    67.251    73.989    0.7011    0.3000 | 1.491    25.100    0.531 | 1.536     25.000    0.497 |  4 hr 23 min 
0.00003 84.80 k 64.26  | 1.468    67.925    74.259    0.7071    0.3000 | 1.485    25.000    0.532 | 1.540     25.000    0.485 |  4 hr 27 min 
0.00003 85.00 k 64.41  | 1.467    69.003    75.606    0.7197    0.3000 | 1.492    25.000    0.500 | 1.460     25.000    0.508 |  4 hr 30 min 
0.00003 85.20 k 64.56  | 1.467    67.925    74.933    0.7111    0.3000 | 1.477    25.000    0.558 | 1.436     25.000    0.592 |  4 hr 34 min 
0.00003 85.40 k 64.71  | 1.461    66.712    73.450    0.6966    0.3000 | 1.472    25.000    0.545 | 1.546     25.000    0.517 |  4 hr 37 min 
0.00003 85.60 k 64.87  | 1.468    66.712    74.663    0.7027    0.3000 | 1.479    25.200    0.537 | 1.422     25.000    0.625 |  4 hr 41 min 
0.00003 85.80 k 65.02  | 1.461    65.094    72.642    0.6848    0.3000 | 1.498    25.000    0.521 | 1.516     25.000    0.487 |  4 hr 44 min 
0.00003 86.00 k 65.17  | 1.471    68.598    76.280    0.7218    0.3000 | 1.487    25.000    0.510 | 1.546     25.000    0.475 |  4 hr 48 min 
0.00003 86.20 k 65.32  | 1.479    66.307    75.741    0.7049    0.3000 | 1.477    25.000    0.549 | 1.485     25.000    0.560 |  4 hr 52 min 
0.00003 86.40 k 65.47  | 1.463    68.059    74.798    0.7104    0.3000 | 1.473    25.000    0.545 | 1.496     25.000    0.542 |  4 hr 55 min 
0.00003 86.60 k 65.62  | 1.465    67.520    75.337    0.7097    0.3000 | 1.486    25.000    0.531 | 1.560     25.000    0.452 |  4 hr 59 min 
0.00003 86.80 k 65.78  | 1.468    69.272    74.933    0.7181    0.3000 | 1.480    25.000    0.514 | 1.457     25.000    0.575 |  5 hr 02 min 
0.00003 87.00 k 65.93  | 1.469    69.407    76.550    0.7263    0.3000 | 1.480    25.000    0.514 | 1.503     25.000    0.512 |  5 hr 06 min 
0.00003 87.20 k 66.08  | 1.475    69.137    76.011    0.7220    0.3000 | 1.481    25.000    0.554 | 1.447     25.000    0.577 |  5 hr 10 min 
0.00003 87.40 k 66.23  | 1.458    68.059    74.663    0.7100    0.3000 | 1.475    25.000    0.548 | 1.409     25.000    0.550 |  5 hr 13 min 
0.00003 87.60 k 66.38  | 1.457    67.520    74.663    0.7066    0.3000 | 1.475    25.000    0.523 | 1.455     25.000    0.467 |  5 hr 17 min 
0.00003 87.80 k 66.53  | 1.459    69.677    76.011    0.7250    0.3000 | 1.485    25.000    0.507 | 1.509     25.000    0.577 |  5 hr 20 min 
0.00003 88.00 k 66.68  | 1.468    69.407    75.741    0.7226    0.3000 | 1.499    25.000    0.500 | 1.482     25.000    0.492 |  5 hr 24 min 
0.00003 88.20 k 66.84  | 1.465    67.655    76.280    0.7148    0.3000 | 1.480    25.000    0.545 | 1.554     25.000    0.500 |  5 hr 28 min 
0.00003 88.40 k 66.99  | 1.463    67.251    74.798    0.7058    0.3000 | 1.470    25.000    0.550 | 1.482     25.000    0.483 |  5 hr 31 min 
0.00003 88.60 k 67.14  | 1.466    67.251    73.989    0.7029    0.3000 | 1.474    25.000    0.522 | 1.568     25.000    0.418 |  5 hr 35 min 
0.00003 88.80 k 67.29  | 1.453    66.981    73.315    0.6971    0.3000 | 1.475    25.000    0.510 | 1.487     25.000    0.500 |  5 hr 38 min 
0.00003 89.00 k 67.44  | 1.456    68.868    75.202    0.7161    0.3000 | 1.494    25.000    0.512 | 1.520     25.000    0.575 |  5 hr 42 min 
0.00003 89.20 k 67.59  | 1.455    66.712    73.854    0.6986    0.3000 | 1.477    25.000    0.545 | 1.504     25.000    0.517 |  5 hr 45 min 
0.00003 89.40 k 67.75  | 1.460    66.038    73.585    0.6940    0.3000 | 1.476    25.100    0.535 | 1.468     25.000    0.520 |  5 hr 49 min 
0.00003 89.60 k 67.90  | 1.464    67.385    73.989    0.7026    0.3000 | 1.485    25.200    0.543 | 1.472     25.000    0.567 |  5 hr 53 min 
0.00003 89.80 k 68.05  | 1.444    65.768    71.968    0.6848    0.3000 | 1.487    25.000    0.497 | 1.474     25.000    0.479 |  5 hr 56 min 
0.00003 90.00 k 68.20  | 1.451    69.003    74.259    0.7143    0.3000 | 1.481    25.000    0.494 | 1.431     25.000    0.517 |  6 hr 00 min 
0.00003 90.20 k 68.35  | 1.456    67.925    74.124    0.7064    0.3000 | 1.474    25.000    0.544 | 1.493     25.000    0.575 |  6 hr 03 min 
0.00003 90.40 k 68.50  | 1.457    67.655    74.124    0.7043    0.3000 | 1.477    25.100    0.536 | 1.441     25.000    0.492 |  6 hr 07 min 
0.00003 90.60 k 68.65  | 1.444    66.038    72.237    0.6875    0.3000 | 1.467    25.000    0.515 | 1.496     25.000    0.517 |  6 hr 10 min 
0.00003 90.80 k 68.81  | 1.453    66.846    73.181    0.6974    0.3000 | 1.499    25.000    0.495 | 1.468     25.000    0.485 |  6 hr 14 min 
0.00003 91.00 k 68.96  | 1.458    66.038    72.911    0.6909    0.3000 | 1.476    25.000    0.492 | 1.475     25.000    0.442 |  6 hr 18 min 
0.00003 91.20 k 69.11  | 1.458    69.003    74.663    0.7157    0.3000 | 1.480    25.200    0.527 | 1.456     25.000    0.527 |  6 hr 21 min 
0.00003 91.40 k 69.26  | 1.482    67.251    74.933    0.7074    0.3000 | 1.475    25.000    0.531 | 1.492     25.000    0.517 |  6 hr 25 min 
0.00003 91.60 k 69.41  | 1.452    65.633    73.181    0.6890    0.3000 | 1.476    25.000    0.520 | 1.548     25.000    0.525 |  6 hr 28 min 
0.00003 91.80 k 69.56  | 1.448    67.116    73.315    0.6988    0.3000 | 1.477    25.000    0.508 | 1.435     25.000    0.442 |  6 hr 32 min 
0.00003 92.00 k 69.72  | 1.442    68.464    74.798    0.7135    0.3000 | 1.474    25.000    0.481 | 1.435     25.000    0.500 |  6 hr 36 min 
