 start_time :2020-01-20 13:02:13 
 batch_size :5 
  start from11000, l_rate =0.0003 
freeze=True, batch_size=5, min_num_class=0 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.00030 11.00 k  8.34  | 2.169    37.466    37.601    0.3753    0.7000 | 0.000    0.000    0.000 | 0.000     0.000    0.000 |  0 hr 00 min 
0.00030 11.20 k  8.49  | 2.022    37.332    47.439    0.4093    0.6000 | 2.210    29.700    0.317 | 2.280     25.000    0.263 |  0 hr 04 min 
0.00030 11.40 k  8.64  | 1.923    37.466    50.943    0.4311    0.2000 | 2.138    27.600    0.311 | 2.193     25.000    0.250 |  0 hr 08 min 
0.00030 11.60 k  8.79  | 1.834    37.062    56.199    0.4522    0.4000 | 2.021    28.000    0.330 | 1.928     30.000    0.348 |  0 hr 11 min 
0.00030 11.80 k  8.94  | 1.823    36.523    64.555    0.4866    0.3000 | 2.024    26.000    0.326 | 1.863     35.000    0.417 |  0 hr 15 min 
0.00030 12.00 k  9.09  | 1.796    38.005    66.712    0.5073    0.3000 | 1.988    26.200    0.341 | 2.184     25.000    0.287 |  0 hr 19 min 
0.00030 12.20 k  9.24  | 1.783    40.296    67.790    0.5188    0.3000 | 1.877    25.900    0.369 | 1.837     25.000    0.417 |  0 hr 22 min 
0.00030 12.40 k  9.40  | 1.752    40.836    73.854    0.5535    0.3000 | 1.849    26.800    0.379 | 1.744     35.000    0.471 |  0 hr 26 min 
0.00030 12.60 k  9.55  | 1.730    43.935    75.337    0.5772    0.3000 | 1.870    25.800    0.364 | 1.770     30.000    0.368 |  0 hr 29 min 
0.00030 12.80 k  9.70  | 1.711    42.588    76.685    0.5761    0.3000 | 1.909    25.600    0.348 | 1.797     25.000    0.345 |  0 hr 33 min 
0.00030 13.00 k  9.85  | 1.713    41.240    78.841    0.5814    0.3000 | 1.859    25.600    0.368 | 1.808     25.000    0.377 |  0 hr 37 min 
0.00030 13.20 k 10.00  | 1.706    45.957    73.181    0.5769    0.3000 | 1.730    25.500    0.414 | 1.965     25.000    0.385 |  0 hr 40 min 
0.00030 13.40 k 10.15  | 1.699    49.596    75.202    0.6055    0.3000 | 1.744    26.500    0.408 | 1.782     25.000    0.367 |  0 hr 44 min 
0.00030 13.60 k 10.31  | 1.683    50.000    76.819    0.6164    0.3000 | 1.779    26.800    0.391 | 2.022     25.000    0.275 |  0 hr 48 min 
0.00030 13.80 k 10.46  | 1.656    50.943    79.515    0.6300    0.3000 | 1.800    26.300    0.375 | 1.722     25.000    0.408 |  0 hr 51 min 
0.00030 14.00 k 10.61  | 1.634    52.965    78.706    0.6392    0.3000 | 1.775    26.100    0.380 | 1.946     25.000    0.335 |  0 hr 55 min 
0.00030 14.20 k 10.76  | 1.642    49.596    76.280    0.6064    0.3000 | 1.682    27.900    0.419 | 1.503     35.000    0.492 |  0 hr 59 min 
0.00030 14.40 k 10.91  | 1.636    53.100    75.067    0.6186    0.3000 | 1.682    27.100    0.419 | 1.617     30.000    0.477 |  1 hr 02 min 
0.00030 14.60 k 11.06  | 1.608    56.604    77.224    0.6508    0.3000 | 1.714    27.300    0.403 | 1.571     25.000    0.471 |  1 hr 06 min 
0.00030 14.80 k 11.22  | 1.611    52.156    79.919    0.6409    0.3000 | 1.718    27.500    0.397 | 1.596     40.000    0.529 |  1 hr 09 min 
0.00030 15.00 k 11.37  | 1.600    53.908    82.615    0.6645    0.3000 | 1.719    27.200    0.402 | 1.702     35.000    0.467 |  1 hr 13 min 
0.00030 15.20 k 11.52  | 1.609    55.526    76.415    0.6385    0.3000 | 1.625    28.800    0.448 | 1.510     25.000    0.483 |  1 hr 17 min 
0.00030 15.40 k 11.67  | 1.594    54.043    75.067    0.6221    0.3000 | 1.632    28.200    0.439 | 1.616     25.000    0.417 |  1 hr 20 min 
0.00030 15.60 k 11.82  | 1.574    59.704    78.706    0.6740    0.3000 | 1.642    27.200    0.430 | 1.617     25.000    0.442 |  1 hr 24 min 
0.00030 15.80 k 11.97  | 1.571    62.129    81.536    0.7028    0.3000 | 1.698    27.200    0.399 | 1.719     25.000    0.392 |  1 hr 27 min 
0.00030 16.00 k 12.12  | 1.561    62.264    83.423    0.7134    0.3000 | 1.681    27.100    0.405 | 1.619     25.000    0.429 |  1 hr 31 min 
0.00030 16.20 k 12.28  | 1.552    57.951    79.650    0.6662    0.3000 | 1.575    29.100    0.453 | 1.582     30.000    0.400 |  1 hr 34 min 
0.00030 16.40 k 12.43  | 1.543    57.682    80.189    0.6651    0.3000 | 1.610    28.900    0.429 | 1.658     30.000    0.425 |  1 hr 38 min 
