 start_time :2020-01-20 23:16:37 
 batch_size :5 
  start from26000, l_rate =0.0003 
freeze=True, batch_size=5, min_num_class=0 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.00030 26.00 k 19.70  | 2.541    37.466    37.601    0.3753    0.8000 | 0.000    0.000    0.000 | 0.000     0.000    0.000 |  0 hr 00 min 
0.00030 26.20 k 19.85  | 2.383    37.601    46.631    0.4081    0.8000 | 2.615    28.800    0.304 | 2.692     25.000    0.277 |  0 hr 04 min 
0.00030 26.40 k 20.01  | 2.252    37.466    54.178    0.4448    0.4000 | 2.496    27.700    0.314 | 2.567     25.000    0.329 |  0 hr 08 min 
0.00030 26.60 k 20.16  | 2.139    37.332    56.334    0.4545    0.3000 | 2.319    28.700    0.344 | 2.262     30.000    0.392 |  0 hr 12 min 
0.00030 26.80 k 20.31  | 2.095    38.679    61.590    0.4845    0.2000 | 2.312    26.200    0.340 | 2.306     25.000    0.383 |  0 hr 16 min 
0.00030 27.00 k 20.46  | 2.080    40.296    66.038    0.5102    0.2000 | 2.279    25.700    0.332 | 2.225     25.000    0.300 |  0 hr 20 min 
0.00030 27.20 k 20.61  | 2.065    42.857    65.229    0.5230    0.2000 | 2.131    25.600    0.382 | 2.339     25.000    0.342 |  0 hr 24 min 
0.00030 27.40 k 20.76  | 2.058    44.609    70.081    0.5551    0.2000 | 2.156    25.400    0.364 | 1.975     25.000    0.452 |  0 hr 27 min 
0.00030 27.60 k 20.91  | 2.011    46.361    75.472    0.5908    0.2000 | 2.141    25.600    0.361 | 2.230     25.000    0.317 |  0 hr 31 min 
0.00030 27.80 k 21.07  | 1.945    48.787    74.528    0.5929    0.2000 | 2.111    25.200    0.367 | 2.142     25.000    0.402 |  0 hr 35 min 
0.00030 28.00 k 21.22  | 1.904    54.043    80.323    0.6524    0.2000 | 2.075    25.300    0.382 | 1.884     30.000    0.425 |  0 hr 39 min 
0.00030 28.20 k 21.37  | 1.883    49.730    71.024    0.5825    0.2000 | 1.929    25.600    0.404 | 1.830     25.000    0.404 |  0 hr 43 min 
0.00030 28.40 k 21.52  | 1.844    51.482    73.046    0.5984    0.2000 | 1.947    25.600    0.389 | 1.895     25.000    0.398 |  0 hr 46 min 
0.00030 28.60 k 21.67  | 1.853    52.291    72.776    0.6059    0.2000 | 1.980    25.100    0.387 | 2.037     25.000    0.362 |  0 hr 50 min 
0.00030 28.80 k 21.82  | 1.824    54.043    76.415    0.6315    0.2000 | 1.979    25.400    0.386 | 1.850     25.000    0.404 |  0 hr 54 min 
0.00030 29.00 k 21.98  | 1.790    54.987    79.245    0.6450    0.2000 | 1.976    25.400    0.388 | 1.835     30.000    0.450 |  0 hr 58 min 
0.00030 29.20 k 22.13  | 1.753    43.801    72.776    0.5652    0.3000 | 1.817    26.600    0.410 | 1.671     25.000    0.467 |  1 hr 02 min 
0.00030 29.40 k 22.28  | 1.791    55.121    72.776    0.6207    0.2000 | 1.860    26.000    0.401 | 1.779     25.000    0.400 |  1 hr 06 min 
0.00030 29.60 k 22.43  | 1.799    54.447    73.585    0.6224    0.2000 | 1.884    26.200    0.403 | 1.948     30.000    0.402 |  1 hr 09 min 
0.00030 29.80 k 22.58  | 1.756    53.235    73.720    0.6142    0.2000 | 1.917    26.500    0.388 | 1.743     25.000    0.463 |  1 hr 13 min 
0.00030 30.00 k 22.73  | 1.721    54.447    72.776    0.6158    0.2000 | 1.926    26.100    0.383 | 1.873     25.000    0.342 |  1 hr 17 min 
0.00030 30.20 k 22.88  | 1.745    44.879    74.933    0.5821    0.3000 | 1.763    26.800    0.427 | 1.997     25.000    0.350 |  1 hr 21 min 
0.00030 30.40 k 23.04  | 1.718    47.035    78.302    0.6032    0.3000 | 1.840    26.000    0.401 | 1.751     25.000    0.450 |  1 hr 25 min 
0.00030 30.60 k 23.19  | 1.696    49.730    75.337    0.6126    0.3000 | 1.832    25.900    0.391 | 2.001     25.000    0.354 |  1 hr 28 min 
0.00030 30.80 k 23.34  | 1.823    53.908    69.677    0.6057    0.2000 | 1.888    25.700    0.383 | 1.796     25.000    0.388 |  1 hr 32 min 
0.00030 31.00 k 23.49  | 1.688    50.674    76.280    0.6185    0.3000 | 1.865    25.300    0.353 | 1.800     25.000    0.417 |  1 hr 36 min 
0.00030 31.20 k 23.64  | 1.700    47.439    76.954    0.6042    0.3000 | 1.738    27.600    0.429 | 1.760     25.000    0.396 |  1 hr 40 min 
0.00030 31.40 k 23.79  | 1.702    50.270    74.933    0.6099    0.3000 | 1.776    27.900    0.404 | 1.892     25.000    0.375 |  1 hr 44 min 
0.00030 31.60 k 23.95  | 1.675    51.213    76.685    0.6211    0.3000 | 1.813    26.600    0.398 | 1.928     25.000    0.375 |  1 hr 47 min 
0.00030 31.80 k 24.10  | 1.687    52.830    78.032    0.6357    0.3000 | 1.800    26.300    0.386 | 1.632     25.000    0.481 |  1 hr 51 min 
0.00030 32.00 k 24.25  | 1.661    52.022    80.728    0.6451    0.3000 | 1.880    25.900    0.364 | 1.966     25.000    0.300 |  1 hr 55 min 
0.00030 32.20 k 24.40  | 1.715    46.496    78.437    0.6062    0.3000 | 1.672    28.100    0.432 | 1.540     40.000    0.525 |  1 hr 59 min 
0.00030 32.40 k 24.55  | 1.700    52.156    74.259    0.6163    0.3000 | 1.707    26.700    0.421 | 1.567     25.000    0.475 |  2 hr 02 min 
0.00030 32.60 k 24.70  | 1.663    54.178    75.606    0.6323    0.3000 | 1.751    26.800    0.398 | 1.824     30.000    0.425 |  2 hr 06 min 
0.00030 32.80 k 24.86  | 1.678    53.774    78.841    0.6466    0.3000 | 1.811    27.200    0.386 | 1.793     25.000    0.400 |  2 hr 10 min 
0.00030 33.00 k 25.01  | 1.625    53.908    75.472    0.6287    0.3000 | 1.829    25.600    0.367 | 1.876     25.000    0.367 |  2 hr 13 min 
0.00030 33.20 k 25.16  | 1.663    50.270    71.429    0.5889    0.3000 | 1.652    27.200    0.433 | 1.831     25.000    0.350 |  2 hr 17 min 
0.00030 33.40 k 25.31  | 1.659    52.156    75.876    0.6241    0.3000 | 1.747    26.800    0.408 | 1.502     25.000    0.475 |  2 hr 21 min 
0.00030 33.60 k 25.46  | 1.641    55.660    78.302    0.6527    0.3000 | 1.754    26.500    0.395 | 1.667     25.000    0.445 |  2 hr 25 min 
0.00030 33.80 k 25.61  | 1.609    57.143    76.685    0.6516    0.3000 | 1.799    26.400    0.379 | 1.861     25.000    0.350 |  2 hr 28 min 
0.00030 34.00 k 25.76  | 1.588    57.682    81.536    0.6776    0.3000 | 1.810    25.900    0.368 | 2.072     25.000    0.300 |  2 hr 32 min 
0.00030 34.20 k 25.92  | 1.625    56.469    78.976    0.6637    0.3000 | 1.672    27.400    0.428 | 1.739     25.000    0.402 |  2 hr 36 min 
0.00030 34.40 k 26.07  | 1.612    57.547    77.089    0.6578    0.3000 | 1.685    26.700    0.417 | 1.583     40.000    0.512 |  2 hr 40 min 
0.00030 34.60 k 26.22  | 1.672    54.447    78.032    0.6482    0.3000 | 1.729    26.900    0.393 | 1.747     25.000    0.385 |  2 hr 43 min 
0.00030 34.80 k 26.37  | 1.550    62.399    80.593    0.6987    0.3000 | 1.737    26.600    0.381 | 1.743     25.000    0.377 |  2 hr 47 min 
0.00030 35.00 k 26.52  | 1.594    56.739    77.898    0.6526    0.3000 | 1.794    26.300    0.359 | 1.760     30.000    0.375 |  2 hr 51 min 
0.00030 35.20 k 26.67  | 1.643    54.043    77.493    0.6407    0.3000 | 1.631    27.000    0.435 | 1.541     30.000    0.496 |  2 hr 55 min 
