 start_time :2020-01-05 00:50:28 
 batch_size :5 
 rate     iter   epoch  | valid   top@1    top@5    map@5  | train    top@1    top@5    map@5 | batch    top@1    top@5    map@5 |  time          
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------
0.00030  0.00 k  0.00  | 1.681    30.997    31.132    0.3106    0.6000 | 0.000    0.000    0.000 | 0.000     0.000    0.000 |  0 hr 00 min 
0.00030  0.20 k  0.16  | 1.435    30.997    31.267    0.3109    0.6000 | 1.625    0.500    0.008 | 1.604     0.000    0.000 |  0 hr 05 min 
0.00030  0.40 k  0.32  | 1.451    30.997    31.132    0.3104    0.6000 | 1.658    0.900    0.016 | 1.811     0.000    0.000 |  0 hr 10 min 
0.00030  0.60 k  0.49  | 1.572    30.997    31.671    0.3126    0.7000 | 1.656    1.000    0.019 | 1.767     0.000    0.010 |  0 hr 15 min 
0.00030  0.80 k  0.65  | 1.568    30.997    31.132    0.3106    0.7000 | 1.642    2.400    0.038 | 1.515     5.000    0.050 |  0 hr 20 min 
0.00030  1.00 k  0.81  | 1.527    30.997    32.075    0.3140    0.7000 | 1.616    3.500    0.068 | 1.658     5.000    0.092 |  0 hr 25 min 
0.00030  1.20 k  0.97  | 1.659    30.997    32.075    0.3143    0.7000 | 1.620    8.000    0.134 | 1.711     5.000    0.062 |  0 hr 30 min 
0.00030  1.40 k  1.14  | 1.551    30.997    32.749    0.3167    0.7000 | 1.593    11.900    0.169 | 1.536     25.000    0.292 |  0 hr 35 min 
0.00030  1.60 k  1.30  | 1.638    30.997    33.288    0.3197    0.7000 | 1.553    13.200    0.202 | 1.437     30.000    0.352 |  0 hr 40 min 
0.00030  1.80 k  1.46  | 1.690    31.132    33.693    0.3227    0.7000 | 1.515    19.400    0.278 | 1.336     35.000    0.427 |  0 hr 44 min 
0.00030  2.00 k  1.62  | 1.590    31.132    34.367    0.3253    0.7000 | 1.494    24.100    0.328 | 1.740     20.000    0.287 |  0 hr 49 min 
0.00030  2.20 k  1.79  | 1.568    31.671    34.097    0.3272    0.7000 | 1.431    35.500    0.440 | 1.389     50.000    0.595 |  0 hr 54 min 
0.00030  2.40 k  1.95  | 1.679    32.075    34.097    0.3303    0.7000 | 1.405    40.000    0.488 | 1.288     50.000    0.560 |  0 hr 59 min 
0.00030  2.60 k  2.11  | 1.555    31.941    34.501    0.3318    0.7000 | 1.298    49.000    0.576 | 1.391     45.000    0.539 |  1 hr 04 min 
0.00030  2.80 k  2.27  | 1.588    32.615    34.501    0.3347    0.7000 | 1.301    53.500    0.608 | 1.204     70.000    0.767 |  1 hr 09 min 
